time,V(n003)
2.001142614515405e-003,2.389899e-001
2.001170791801484e-003,2.094355e-001
2.001204938095946e-003,1.741233e-001
2.001243242037918e-003,1.353101e-001
2.001378571278353e-003,9.231748e-005
2.001999999999999e-003,-6.209138e-001
2.002010069426122e-003,-6.305556e-001
2.002023495327619e-003,-6.422932e-001
2.002033992474693e-003,-6.501973e-001
2.002046610641854e-003,-6.576683e-001
2.002061139432245e-003,-6.638435e-001
2.002076813382704e-003,-6.679669e-001
2.002093569400612e-003,-6.700752e-001
2.002112822194963e-003,-6.707276e-001
2.002143646349448e-003,-6.694739e-001
2.002164208256087e-003,-6.684308e-001
2.002184770162726e-003,-6.675908e-001
2.002205332069365e-003,-6.669539e-001
2.002225893976004e-003,-6.665200e-001
2.002246455882643e-003,-6.662892e-001
2.002267017789283e-003,-6.662614e-001
2.002287579695922e-003,-6.664367e-001
2.025770306406028e-003,-6.299963e-001
2.049253033116134e-003,-5.945624e-001
2.072735759826240e-003,-5.601350e-001
2.096218486536346e-003,-5.267140e-001
2.119701213246453e-003,-4.942995e-001
2.143183939956559e-003,-4.628914e-001
2.166666666666665e-003,-4.324899e-001
2.166670878026718e-003,-4.325216e-001
2.166675089386771e-003,-4.323923e-001
2.166679300746825e-003,-4.321018e-001
2.166683512106877e-003,-4.316503e-001
2.166687723466931e-003,-4.310376e-001
2.166691934826984e-003,-4.302638e-001
2.166696146187037e-003,-4.293290e-001
2.166705492329780e-003,-4.262356e-001
2.166718444965160e-003,-4.200258e-001
2.166733340846435e-003,-4.103580e-001
2.166754400114934e-003,-3.930205e-001
2.166784015911777e-003,-3.647172e-001
2.166808958113245e-003,-3.390429e-001
2.166837082582465e-003,-3.095393e-001
2.166871178381348e-003,-2.742737e-001
2.166909337640474e-003,-2.356041e-001
2.166965186367368e-003,-1.797299e-001
2.167044158737950e-003,-1.009008e-001
2.167402182108147e-003,2.569629e-001
2.167666666666665e-003,5.211596e-001
2.167674344776097e-003,5.286194e-001
2.167684582255340e-003,5.379171e-001
2.167696085122095e-003,5.471451e-001
2.167709508590657e-003,5.558646e-001
2.167723972587422e-003,5.627581e-001
2.167739036548952e-003,5.673859e-001
2.167755129665988e-003,5.699726e-001
2.167774358719785e-003,5.710936e-001
2.167784871341250e-003,5.710558e-001
2.167797545974330e-003,5.703802e-001
2.167810220607409e-003,5.697506e-001
2.167822895240488e-003,5.691668e-001
2.167835569873568e-003,5.686290e-001
2.167848244506647e-003,5.681371e-001
2.167860919139727e-003,5.676911e-001
2.167873593772806e-003,5.672910e-001
2.167918877078867e-003,5.668629e-001
2.168122505268679e-003,5.666963e-001
2.168326133458492e-003,5.665002e-001
2.168529761648304e-003,5.662748e-001
2.168733389838117e-003,5.660199e-001
2.168937018027929e-003,5.657357e-001
2.169140646217742e-003,5.654221e-001
2.169344274407554e-003,5.650792e-001
2.191627751388469e-003,5.344885e-001
2.213911228369383e-003,5.047450e-001
2.236194705350298e-003,4.758486e-001
2.258478182331212e-003,4.477995e-001
2.280761659312126e-003,4.205975e-001
2.303045136293041e-003,3.942426e-001
2.325328613273955e-003,3.687350e-001
2.334333333333332e-003,3.586599e-001
2.334337553535750e-003,3.586923e-001
2.334341773738168e-003,3.585631e-001
2.334345993940587e-003,3.582723e-001
2.334350214143005e-003,3.578197e-001
2.334354434345423e-003,3.572055e-001
2.334358654547841e-003,3.564297e-001
2.334362874750260e-003,3.554922e-001
2.334372239567724e-003,3.523904e-001
2.334385221149769e-003,3.461622e-001
2.334400150396755e-003,3.364671e-001
2.334421269706806e-003,3.190725e-001
2.334451007668106e-003,2.906469e-001
2.334475954118286e-003,2.649692e-001
2.334504133035759e-003,2.354127e-001
2.334538280935729e-003,2.000982e-001
2.334576587934765e-003,1.612812e-001
2.334632676745184e-003,1.051641e-001
2.334711932229443e-003,2.604536e-002
2.335333333333332e-003,-5.949464e-001
2.335336826700406e-003,-5.983686e-001
2.335343813434555e-003,-6.049542e-001
2.335357786902853e-003,-6.170833e-001
2.335368153944571e-003,-6.247966e-001
2.335380675734870e-003,-6.320812e-001
2.335395209959856e-003,-6.381240e-001
2.335411013160268e-003,-6.421571e-001
2.335427912595934e-003,-6.442029e-001
2.335445937033346e-003,-6.447742e-001
2.335464898669070e-003,-6.441604e-001
2.335487083279288e-003,-6.429387e-001
2.335509267889506e-003,-6.419488e-001
2.335531452499724e-003,-6.411909e-001
2.335553637109942e-003,-6.406648e-001
2.335575821720160e-003,-6.403707e-001
2.335598006330378e-003,-6.403084e-001
2.335620190940596e-003,-6.404781e-001
2.359103020806225e-003,-6.045567e-001
2.382585850671854e-003,-5.696541e-001
2.406068680537483e-003,-5.357703e-001
2.429551510403112e-003,-5.029051e-001
2.453034340268741e-003,-4.710587e-001
2.476517170134369e-003,-4.402310e-001
2.499999999999998e-003,-4.104220e-001
2.500004211245405e-003,-4.104538e-001
2.500008422490813e-003,-4.103246e-001
2.500012633736221e-003,-4.100343e-001
2.500016844981628e-003,-4.095829e-001
2.500021056227036e-003,-4.089704e-001
2.500025267472444e-003,-4.081969e-001
2.500029478717851e-003,-4.072622e-001
2.500038824685661e-003,-4.041694e-001
2.500051777021048e-003,-3.979605e-001
2.500066672662083e-003,-3.882939e-001
2.500087731302671e-003,-3.709583e-001
2.500117345269296e-003,-3.426585e-001
2.500142289910583e-003,-3.169829e-001
2.500170415552016e-003,-2.874790e-001
2.500204512762447e-003,-2.522126e-001
2.500242671331560e-003,-2.135446e-001
2.500298518112844e-003,-1.576737e-001
2.500467897562044e-003,1.151756e-002
2.500999999999998e-003,5.431998e-001
2.501007678346125e-003,5.506595e-001
2.501017916140959e-003,5.599573e-001
2.501029419242528e-003,5.691852e-001
2.501042843063463e-003,5.779046e-001
2.501057307417724e-003,5.847980e-001
2.501072371918989e-003,5.894257e-001
2.501088465683617e-003,5.920123e-001
2.501107695916487e-003,5.931331e-001
2.501127667523892e-003,5.927346e-001
2.501149208877790e-003,5.915266e-001
2.501170750231689e-003,5.905378e-001
2.501192291585588e-003,5.897683e-001
2.501213832939486e-003,5.892182e-001
2.501235374293385e-003,5.888873e-001
2.501256915647284e-003,5.887758e-001
2.501278457001183e-003,5.888835e-001
2.502370726220445e-003,5.874612e-001
2.503462995439708e-003,5.860073e-001
2.504555264658970e-003,5.845218e-001
2.505647533878233e-003,5.830049e-001
2.506739803097495e-003,5.814563e-001
